Organization Name,Headquarters Location,Operating Status,Company Type,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Lead Investors,Number of Investors,Industry Groups,Industries,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Events,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Visit Duration,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Principales inversionistas
Tesla,"Austin, Texas, United States",Active,For Profit,1,,,,15,42,"Consumer Electronics, Hardware, Transportation","Automotive, Autonomous Vehicles, Electric Vehicle, Electronics",36,IPO,5/9/2020,565000000,USD,565000000,Post-IPO Debt,Post-IPO Equity,860000000,USD,860000000,20182508761,USD,20182508761,14,"40,713,783","31,839,271.67",390,,,,"Tencent, Citi, Google, Morgan Stanley, Goldman Sachs"
Zilingo,"Singapore, Central Region, Singapore",Active,For Profit,,,,,6,21,"Commerce and Shopping, Internet Services, Mobile","E-Commerce, Internet, Mobile",6,,12/5/2019,,,,Venture - Series Unknown,Venture - Series Unknown,,,,307880000,USD,307880000,,2.962,68.042,788,,,,"Sequoia Capital, Draper Associates, Susquehanna International Group (SIG), Temasek Holdings, Wavemaker Partners"
Xiaohongshu,"Shanghai, Shanghai, China",Active,For Profit,4,2,,,5,10,"Apps, Commerce and Shopping, Community and Lifestyle, Mobile, Software","E-Commerce, Mobile Apps, Shopping, Social",8,Late Stage Venture,11/8/2021,500000000,USD,500000000,Series E,Series E,500000000,USD,500000000,917691787,USD,917691787,,"5,939,482","3,498,235.33",252,,,,"Tencent, Alibaba Group, GSR Ventures, Temasek Holdings, GGV Capital"
Uniphore,"Palo Alto, California, United States",Active,For Profit,,,,,9,22,"Artificial Intelligence, Data and Analytics, Other, Professional Services, Science and Engineering, Software","Artificial Intelligence, Customer Service, Machine Learning, SaaS, Software",8,Late Stage Venture,2/16/2022,400000000,USD,400000000,Series E,Series E,400000000,USD,400000000,620875000,USD,620875000,,35.273,"17,845.67",603,,,,"New Enterprise Associates, Sorenson Capital, IIFL Finance, Chiratae Ventures, YourNest Venture Capital"
Sonos,"Santa Barbara, California, United States",Active,For Profit,1,1,,,3,7,"Consumer Electronics, Hardware, Media and Entertainment, Mobile, Music and Audio, Software","Audio, Consumer Electronics, Hardware, Music, Software, Wireless",10,IPO,7/12/2018,,,,Secondary Market,Series G,99000000,USD,99000000,455150000,USD,455150000,6,"5,850,531","7,374,347.5",569,100215712,USD,100215712,"Headline, Redpoint, Index Ventures, Kohlberg Kravis Roberts, EquityZen"
Sanofi,"Paris, Ile-de-France, France",Active,For Profit,22,12,3,11,2,2,"Biotechnology, Health Care, Manufacturing, Sales and Marketing, Science and Engineering","Biotechnology, Health Care, Life Science, Manufacturing, Marketing, Medical, Pharmaceutical, Therapeutics",2,IPO,3/15/2022,300000000,EUR,329024934,Post-IPO Equity,Post-IPO Equity,300000000,EUR,329024934,639024935,USD,639024935,13,448.697,"450,859.83",1.269,,,,"Evotec, Blackstone Life Sciences"
Thunes,"Singapore, Central Region, Singapore",Active,For Profit,2,1,,,3,5,"Financial Services, Mobile, Payments, Software","Financial Services, FinTech, Mobile Payments, Payments",3,Early Stage Venture,5/18/2021,60000000,USD,60000000,Series B,Series B,60000000,USD,60000000,130000000,USD,130000000,4,10.062,8.918,610,,,,"Insight Partners, Checkout.com, GGV Capital, Future Shape, Helios Investment Partners"
Turo,"San Francisco, California, United States",Active,For Profit,,,,,6,30,"Commerce and Shopping, Other, Transportation","Car Sharing, Marketplace, Peer to Peer, Recreational Vehicles, Transportation",13,,4/1/2022,35167273,USD,35167273,Venture - Series Unknown,Venture - Series Unknown,35167273,USD,35167273,502567273,USD,502567273,3,"8,408,928","4,991,919.5",624,656386,USD,656386,"Intact Financial Corporation, GV, Daimler, Shasta Ventures, MassChallenge"
Treinta,"BogotÃ¡, Distrito Especial, Colombia",Active,For Profit,,,,,2,25,Financial Services,FinTech,4,Early Stage Venture,4/4/2022,46000000,USD,46000000,Series A,Series A,46000000,USD,46000000,60800000,USD,60800000,,248.33,"59,477.33",925,,,,"Goodwater Capital, Y Combinator, PayU, Outbound Ventures, Commerce Ventures"
Zume,"Camarillo, California, United States",Active,For Profit,,,,,3,10,"Food and Beverage, Manufacturing, Other, Transportation","Consumer, Food and Beverage, Food Delivery, Manufacturing",7,Private Equity,11/2/2018,375000000,USD,375000000,Private Equity,Private Equity,375000000,USD,375000000,423000000,USD,423000000,,2.542,"6,601.33",2.509,,,,"SoftBank Vision Fund, SignalFire, FJ Labs, AME Cloud Ventures, Maveron"
Yieldstreet,"New York, New York, United States",Active,For Profit,1,,,,7,16,Financial Services,"Finance, Financial Services, FinTech, Wealth Management",7,Late Stage Venture,11/17/2021,50000000,USD,50000000,Series C,Series C,50000000,USD,50000000,328500000,USD,328500000,2,527.958,"658,571.83",200,291281,USD,291281,"Gaingels, Edison Partners, FJ Labs, Greycroft, Soros Fund Management"
Yokoy,"ZÃ¼rich, Zurich, Switzerland",Active,For Profit,,,,,4,10,"Artificial Intelligence, Data and Analytics, Financial Services, Science and Engineering, Software","Artificial Intelligence, Finance, Financial Services, FinTech, Machine Learning",3,Early Stage Venture,3/29/2022,80000000,USD,80000000,Series B,Series B,80000000,USD,80000000,107776168,USD,107776168,,18.339,"10,922.5",20,,,,"Sequoia Capital, Balderton Capital, Speedinvest, Left Lane Capital, Swisscom Ventures"
Solana,"San Francisco, California, United States",Closed,For Profit,13,,,,3,32,"Commerce and Shopping, Financial Services, Internet Services, Other, Payments, Software","Blockchain, Cryptocurrency, Internet, Marketplace, Virtual Currency",6,,6/9/2021,314000000,USD,314000000,Initial Coin Offering,Initial Coin Offering,314000000,USD,314000000,335760000,USD,335760000,1,"1,845,389","2,928,020.17",570,,,,"Andreessen Horowitz, BlockTower Capital, 500 Startups, Polychain, Slow Ventures"
Samsung Electronics,"Seoul, Seoul-t'ukpyolsi, South Korea",Active,For Profit,45,17,2,15,,1,"Consumer Electronics, Hardware, Manufacturing, Mobile","Consumer Electronics, Electronics, Manufacturing, Mobile, Mobile Devices",2,M&A,7/7/2020,1050000,BRL,195199,Seed,Seed,1050000,BRL,195199,195200,USD,195200,175,"354,059,740","532,450,110.83",535,,,,Ashika Soni
Shopify,"Ottawa, Ontario, Canada",Active,For Profit,11,2,,,5,8,"Commerce and Shopping, Internet Services, Software","E-Commerce, E-Commerce Platforms, Enterprise Software, SaaS",4,IPO,12/11/2013,100000000,USD,100000000,Series C,Series C,100000000,USD,100000000,122250000,USD,122250000,56,"151,447,392","98,608,818.5",649,236725950,USD,236725950,"Insight Partners, OMERS Ventures, FirstMark, Bessemer Venture Partners, Felicis Ventures"
Whatfix,"San Jose, California, United States",Active,For Profit,,,,,5,18,"Apps, Education, Information Technology, Software","Enterprise Applications, Enterprise Software, Information Services, Information Technology, Training",8,Late Stage Venture,6/8/2021,90000000,USD,90000000,Series D,Series D,90000000,USD,90000000,139845000,USD,139845000,7,"1,100,051","365,803.17",684,,,,"Square, SoftBank Vision Fund, F-Prime Capital, Sequoia Capital India, Stellaris Venture Partners"
Trace,"Austin, Texas, United States",Active,For Profit,,,,,2,9,"Biotechnology, Consumer Electronics, Data and Analytics, Hardware, Software, Sports","Computer, Quantified Self, Sensor, Software, Sports",7,Late Stage Venture,4/12/2022,47000000,USD,47000000,Series C,Series C,47000000,USD,47000000,68000000,USD,68000000,,310.835,"149,838.83",449,,,,"Brand Foundry Ventures, Intel Capital, Toba Capital, NextGen Venture Partners, Amplify.LA"
Yandex,"Moscow, Moscow City, Russian Federation",Active,For Profit,21,9,1,4,3,7,"Data and Analytics, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Software","Big Data, Developer Tools, Email, Information Technology, Mobile, Search Engine",6,IPO,6/25/2020,1000000000,USD,1000000000,Post-IPO Equity,Post-IPO Equity,1000000000,USD,1000000000,1016300000,USD,1016300000,14,"3,023,887,710","2,450,921,377.33",1.12,,,,"Tiger Global Management, Almaz Capital, RTP Global, Roman Abramovich, Baring Vostok Capital Partners"
Vytalize Health,"Hoboken, New Jersey, United States",Active,For Profit,,,,,4,11,"Health Care, Mobile","Health Care, mHealth, Personal Health, Wellness",5,Early Stage Venture,4/11/2022,47000000,USD,47000000,Series B,Series B,47000000,USD,47000000,75500000,USD,75500000,,18.63,4.818,90,,,,"KittyHawk Ventures, North Coast Ventures, Dreamit Ventures, Enhanced Healthcare Partners, Kawn Ventures"
Sophos,"Abingdon, Oxfordshire, United Kingdom",Active,For Profit,,,,,,1,"Information Technology, Privacy and Security, Software","Cloud Security, Cyber Security, Network Security, Software",2,M&A,8/24/2021,65229600,USD,65229600,Post-IPO Equity,Post-IPO Equity,65229600,USD,65229600,125010656,USD,125010656,57,"5,024,336","4,829,542.67",633,,,,TA Associates
Squire,"New York, New York, United States",Active,For Profit,,,,,5,23,"Apps, Commerce and Shopping, Mobile, Other, Software","Consumer, Mobile Apps, Point of Sale, Small and Medium Businesses",10,Late Stage Venture,7/28/2021,60000000,USD,60000000,Series D,Series D,60000000,USD,60000000,167070000,USD,167070000,1,"1,595,600","1,128,459",718,,,,"Y Combinator, Tiger Global Management, AltaIR Capital, SB Opportunity Fund, Bossa Nova Investimentos"
Satellogic,"Montevideo, NA - Uruguay, Uruguay",Active,For Profit,,,,,6,13,"Data and Analytics, Information Technology, Navigation and Mapping, Software","Geospatial, Information Technology, Software",9,IPO,1/26/2022,250000000,USD,250000000,Post-IPO Equity,Post-IPO Equity,250000000,USD,250000000,373800000,USD,373800000,,86.549,"65,814.67",656,,,,"Tencent, Liberty Strategic Capital, Endeavor Catalyst, SoftBank Capital, Cantor Fitzgerald"
The Honest Company,"Santa Monica, California, United States",Active,For Profit,1,,1,1,7,14,"Commerce and Shopping, Community and Lifestyle, Consumer Goods","Baby, Consumer Goods, E-Commerce, Lifestyle",7,IPO,6/7/2018,200000000,USD,200000000,Private Equity,Private Equity,200000000,USD,200000000,503000000,USD,503000000,2,"1,548,114","922,077.83",568,2479306,USD,2479306,"General Catalyst, M13, Fidelity Management and Research Company, Lightspeed Venture Partners, L Catterton"
SiFive,"San Mateo, California, United States",Active,For Profit,,,,,6,16,"Consumer Electronics, Hardware, Manufacturing, Science and Engineering","Electronics, Manufacturing, Semiconductor, Wearables",6,Late Stage Venture,3/16/2022,175000000,USD,175000000,Series F,Series F,175000000,USD,175000000,365500000,USD,365500000,3,45.64,"28,447.33",163,,,,"Spark Capital, Qualcomm Ventures, Coatue, Khaira Capital, Samsung Ventures"
Shift,"San Francisco, California, United States",Active,For Profit,,,,,5,25,"Commerce and Shopping, Hardware, Software, Transportation","Automotive, E-Commerce, Logistics, Marketplace, Retail Technology",11,IPO,3/15/2022,20000000,USD,20000000,Post-IPO Debt,Post-IPO Equity,185000000,USD,185000000,504000000,USD,504000000,2,"1,213,364","551,310.83",334,51578,USD,51578,"Alumni Ventures, Fidelity Management and Research Company, Lithia Motors, Highland Capital Partners, Threshold"
Zeta,"San Francisco, California, United States",Active,For Profit,1,1,,,3,3,"Financial Services, Lending and Investments","Banking, Financial Services, FinTech",3,,3/7/2022,30000000,USD,30000000,Venture - Series Unknown,Venture - Series Unknown,30000000,USD,30000000,340000000,USD,340000000,2,63.185,"135,537.17",319,,,,"Mastercard, SoftBank Vision Fund, Sodexo"
Sayurbox,"Jakarta, Jakarta Raya, Indonesia",Active,For Profit,,,,,3,6,"Agriculture and Farming, Commerce and Shopping, Transportation","Agriculture, E-Commerce, Farming, Logistics, Shopping",4,Late Stage Venture,3/21/2022,1700000000000,IDR,118533393,Series C,Series C,1700000000000,IDR,118533393,139183393,USD,139183393,2,269.368,"540,994.83",124,,,,"International Finance Corporation, Alpha JWC Ventures, Global Brain Corporation, Northstar Group, Syngenta Ventures"
Venture Catalysts,"Mumbai, Maharashtra, India",Active,,244,122,1,11,,2,"Financial Services, Lending and Investments","Angel Investment, Finance, Incubators, Venture Capital",2,Seed,4/5/2018,,,,Seed,Seed,,,,500000,USD,500000,,14.059,"5,217.33",451,,,,"Zaffiro Ventures, Raj Sareen"
SoftBank,"Tokyo, Tokyo, Japan",Active,For Profit,308,151,37,81,1,2,"Commerce and Shopping, Financial Services, Hardware, Internet Services, Lending and Investments, Mobile","Banking, E-Commerce, Internet, Mobile, Telecommunications",2,IPO,3/3/2022,100000000000,JPY,865943315,Post-IPO Debt,Private Equity,1000000000,USD,1000000000,1865943315,USD,1865943315,7,,,,,,,"Samsung Electronics, Tiger Global Management"
Viberate,"Ljubljana, Ljubljana Urban Commune, Slovenia",Active,For Profit,,,,,,2,"Data and Analytics, Design, Media and Entertainment, Music and Audio","Analytics, Big Data, Market Research, Media and Entertainment, Music",4,Early Stage Venture,1/31/2022,3500000,USD,3500000,Series A,Series A,3500000,USD,3500000,15500000,USD,15500000,,142.785,"98,564.33",306,,,,"George Burke, ABC Accelerator"
Silver Lake,"Menlo Park, California, United States",Active,For Profit,119,69,13,47,3,3,"Financial Services, Information Technology, Lending and Investments","Finance, Financial Services, FinTech, Information Technology, Venture Capital",3,Private Equity,7/6/2021,40000000,USD,40000000,Private Equity,Private Equity,40000000,USD,40000000,2040000000,USD,2040000000,,30.781,"20,862.67",265,3206,USD,3206,"Mubadala, Dyal Capital Partners, Ikhlas Capital"
Vontive,"San Francisco, California, United States",Active,For Profit,,,,,2,9,"Financial Services, Real Estate","Financial Services, FinTech, Real Estate",4,Early Stage Venture,4/6/2022,110000000,USD,110000000,Debt Financing,Series B,25000000,USD,25000000,143000000,USD,143000000,,2.533,"2,945.33",4,,,,"8VC, Founders Fund, XYZ Venture Capital, Goldcrest Capital, Zigg Capital"
Zoom,"San Jose, California, United States",Active,For Profit,24,12,1,3,5,19,"Hardware, Information Technology, Internet Services, Messaging and Telecommunications, Other, Software","Collaboration, Information Technology, Messaging, Video Conferencing",8,IPO,11/4/2021,130000000,USD,130000000,Post-IPO Equity,Post-IPO Equity,130000000,USD,130000000,276000000,USD,276000000,44,"637,716,832","669,087,972.17",745,204574021,USD,204574021,"Sequoia Capital, Qualcomm Ventures, DCVC, Horizons Ventures, AME Cloud Ventures"
Substack,"San Francisco, California, United States",Active,For Profit,,,,,2,15,"Content and Publishing, Media and Entertainment, Other","Content, Media and Entertainment, News, Publishing, Subscription Service",4,Early Stage Venture,3/31/2021,65000000,USD,65000000,Series B,Series B,65000000,USD,65000000,82420000,USD,82420000,1,"64,553,875","40,756,203.17",655,,,,"Andreessen Horowitz, Garage Capital, FundersClub, Y Combinator, VentureSouq"
UpGrad,"Mumbai, Maharashtra, India",Active,For Profit,,,,,5,5,"Education, Software","E-Learning, EdTech, Education",4,,8/9/2021,65000000,USD,65000000,Venture - Series Unknown,Venture - Series Unknown,65000000,USD,65000000,200986963,USD,200986963,1,"4,356,183","4,609,821.33",711,,,,"Temasek Holdings, International Finance Corporation, IIFL Finance, IIFL Asset Management, Unilazer Ventures"
The EVERY Company,"South San Francisco, California, United States",Active,For Profit,,,,,5,25,"Biotechnology, Food and Beverage, Health Care, Science and Engineering, Sustainability","Biotechnology, Food Processing, Nutrition, Sustainability",9,Late Stage Venture,12/7/2021,175000000,USD,175000000,Series C,Series C,175000000,USD,175000000,239750000,USD,239750000,1,6.631,"3,590.67",179,,,,"IndieBio, Temasek Holdings, SOSV, UpHonest Capital, Prosus Ventures"
Stripe,"San Francisco, California, United States",Active,For Profit,49,21,6,1,14,48,"Financial Services, Mobile, Payments, Software","Finance, FinTech, Mobile Payments, SaaS",19,,3/18/2022,,,,Secondary Market,Venture - Series Unknown,,,,2235100000,USD,2235100000,40,"91,673,603","69,096,235.67",534,47542633,USD,47542633,"Google, Sequoia Capital, Andreessen Horowitz, General Catalyst, Y Combinator"
SparkCognition,"Austin, Texas, United States",Active,For Profit,,,,,10,31,"Artificial Intelligence, Data and Analytics, Information Technology, Privacy and Security, Science and Engineering, Software","Analytics, Artificial Intelligence, Cyber Security, Machine Learning, Software",8,Late Stage Venture,1/25/2022,123000000,USD,123000000,Series D,Series D,123000000,USD,123000000,286581738,USD,286581738,6,14.772,"10,871.67",145,5628874,USD,5628874,"The Boeing Company, Temasek Holdings, US Department of Energy, Energize Ventures, Hearst Ventures"
Zebra Technologies,"Lincolnshire, Illinois, United States",Active,For Profit,1,1,,,,6,"Content and Publishing, Hardware, Information Technology, Manufacturing, Media and Entertainment, Software, Transportation, Travel and Tourism","Hardware, Hospitality, Information Technology, Logistics, Manufacturing, News, Social News, Software, Transportation",2,IPO,9/16/2014,2000000000,USD,2000000000,Post-IPO Debt,Post-IPO Equity,,,,2000000000,USD,2000000000,26,"2,735,186","2,390,737.33",557,,,,"Morgan Stanley, Deutsche Bank, North Coast Ventures, J.P. Morgan Securities Inc., Plymouth Growth"
Zendesk,"San Francisco, California, United States",Active,For Profit,7,2,1,2,5,11,"Other, Professional Services, Software","Customer Service, Enterprise Software, SaaS, Software",8,IPO,9/18/2019,,,,Grant,Post-IPO Equity,,,,85500000,USD,85500000,72,"77,030,596","73,536,668.5",628,148319831,USD,148319831,"Goldman Sachs, Matrix Partners, Redpoint, Index Ventures, GGV Capital"
Startup Wise Guys,"Tallinn, Harjumaa, Estonia",Active,,346,89,4,7,,1,"Financial Services, Hardware, Information Technology, Other, Privacy and Security, Software, Sustainability","Augmented Reality, B2B, Cyber Security, FinTech, SaaS, Sustainability, Virtual Reality",1,,1/1/2019,8800000,EUR,10086121,Undisclosed,Undisclosed,8800000,EUR,10086121,8800000,EUR,10086122,17,8.799,"7,102.83",29,,,,European regional development fund (ERDF)
