Source,Target,Type,Id,Label,Weight
48,27,Undirected,111,,1
48,25,Undirected,110,,1
76,48,Undirected,252,,1
75,48,Undirected,243,,1
74,48,Undirected,238,,2
73,48,Undirected,237,,2
71,48,Undirected,231,,1
69,48,Undirected,216,,1
68,48,Undirected,209,,1
66,48,Undirected,200,,1
65,48,Undirected,187,,3
64,48,Undirected,177,,5
63,48,Undirected,168,,5
62,48,Undirected,162,,7
61,48,Undirected,153,,2
60,48,Undirected,150,,1
59,48,Undirected,148,,6
58,48,Undirected,142,,7
57,48,Undirected,140,,1
55,48,Undirected,135,,4
56,49,Undirected,136,,1
54,49,Undirected,124,,1
51,49,Undirected,117,,9
50,49,Undirected,115,,1
54,51,Undirected,123,,2
53,51,Undirected,122,,1
52,51,Undirected,120,,1
55,54,Undirected,129,,1
55,51,Undirected,126,,6
55,49,Undirected,127,,12
55,41,Undirected,134,,5
55,39,Undirected,128,,1
55,26,Undirected,130,,21
55,25,Undirected,133,,2
55,16,Undirected,132,,1
65,55,Undirected,194,,2
64,55,Undirected,175,,5
63,55,Undirected,174,,1
62,55,Undirected,159,,9
61,55,Undirected,158,,1
59,55,Undirected,147,,5
58,55,Undirected,141,,7
57,55,Undirected,138,,1
56,55,Undirected,137,,1
67,57,Undirected,204,,3
61,57,Undirected,157,,1
59,57,Undirected,149,,2
58,57,Undirected,144,,1
76,58,Undirected,253,,1
70,58,Undirected,225,,1
66,58,Undirected,196,,3
65,58,Undirected,189,,5
64,58,Undirected,179,,10
63,58,Undirected,171,,4
62,58,Undirected,160,,17
61,58,Undirected,154,,6
60,58,Undirected,151,,4
59,58,Undirected,146,,15
66,59,Undirected,197,,1
61,59,Undirected,156,,5
60,59,Undirected,152,,2
61,60,Undirected,155,,2
66,61,Undirected,202,,1
62,61,Undirected,165,,6
62,60,Undirected,166,,3
62,59,Undirected,161,,13
62,57,Undirected,163,,2
62,41,Undirected,164,,1
76,62,Undirected,251,,1
66,62,Undirected,198,,2
65,62,Undirected,188,,5
64,62,Undirected,176,,12
63,62,Undirected,169,,6
63,61,Undirected,172,,3
63,60,Undirected,173,,2
63,59,Undirected,167,,5
63,57,Undirected,170,,2
76,63,Undirected,250,,1
66,63,Undirected,201,,1
65,63,Undirected,185,,5
64,63,Undirected,178,,4
64,61,Undirected,180,,6
64,60,Undirected,181,,2
64,59,Undirected,182,,9
64,57,Undirected,183,,1
76,64,Undirected,247,,1
66,64,Undirected,195,,3
65,64,Undirected,186,,7
65,61,Undirected,190,,5
65,60,Undirected,191,,2
65,59,Undirected,192,,5
65,57,Undirected,193,,1
76,65,Undirected,248,,1
66,65,Undirected,199,,2
66,60,Undirected,203,,1
76,66,Undirected,249,,1
75,68,Undirected,241,,3
71,68,Undirected,228,,2
70,68,Undirected,220,,4
69,68,Undirected,212,,6
75,69,Undirected,240,,3
71,69,Undirected,227,,2
70,69,Undirected,219,,4
75,70,Undirected,245,,1
71,70,Undirected,229,,2
75,71,Undirected,246,,1
74,73,Undirected,239,,3
